athleteLabel,occupationOrSportLabel,dateOfBirth,dateOfDeath
Q12121387,association football,1925-02-17T00:00:00Z,2002-08-23T00:00:00Z
Q121359839,ice hockey,1957-07-12T00:00:00Z,1986-03-21T00:00:00Z
Q121359928,ice hockey,1936-07-01T00:00:00Z,2008-06-22T00:00:00Z
Q121374245,ice hockey,1939-07-18T00:00:00Z,2015-03-20T00:00:00Z
Q121381755,ice hockey,1939-12-02T00:00:00Z,2005-07-28T00:00:00Z
Q121383646,ice hockey,1926-12-16T00:00:00Z,1999-07-23T00:00:00Z
Q121391588,ice hockey,1931-07-30T00:00:00Z,2014-02-16T00:00:00Z
Q121424225,ice hockey,1930-01-25T00:00:00Z,2005-10-04T00:00:00Z
Q121432283,ice hockey,1930-07-17T00:00:00Z,1999-01-22T00:00:00Z
Q121513950,ice hockey,1973-10-19T00:00:00Z,1991-10-23T00:00:00Z
Q121607674,ice hockey,1948-03-30T00:00:00Z,1996-01-01T00:00:00Z
Q121624111,ice hockey,1949-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/2503660f89505f3f47c201ff0f94dcac
Q121624971,ice hockey,1951-11-07T00:00:00Z,2020-11-14T00:00:00Z
Q121639372,ice hockey,1952-07-10T00:00:00Z,1995-01-01T00:00:00Z
Q121704603,ice hockey,1953-08-15T00:00:00Z,http://www.wikidata.org/.well-known/genid/57c2352f9d0f477fda1c4474c40d655e
Q121706522,ice hockey,1953-02-17T00:00:00Z,1990-11-27T00:00:00Z
Q12170905,association football,1912-12-25T00:00:00Z,1993-08-28T00:00:00Z
Q12171557,association football,1946-01-01T00:00:00Z,2005-01-01T00:00:00Z
Q12172706,association football,1906-08-12T00:00:00Z,1970-01-09T00:00:00Z
Q121865113,association football,1915-01-05T00:00:00Z,1945-08-19T00:00:00Z
Q121865123,association football,1917-09-04T00:00:00Z,1998-03-18T00:00:00Z
Q121865138,association football,1911-02-22T00:00:00Z,1981-03-29T00:00:00Z
Q121865168,association football,1913-03-20T00:00:00Z,1993-03-07T00:00:00Z
Q121865174,association football,1929-11-05T00:00:00Z,2009-12-29T00:00:00Z
Q121865187,association football,1916-09-10T00:00:00Z,1995-01-26T00:00:00Z
Q121865209,association football,1934-06-09T00:00:00Z,1997-10-07T00:00:00Z
Q121865213,association football,1948-11-18T00:00:00Z,1987-12-14T00:00:00Z
Q121865231,association football,1919-01-27T00:00:00Z,1998-04-21T00:00:00Z
Q121865291,association football,1932-02-20T00:00:00Z,2000-02-18T00:00:00Z
Q121865327,association football,1900-03-23T00:00:00Z,1941-01-01T00:00:00Z
Q121865329,association football,1922-10-27T00:00:00Z,1957-04-03T00:00:00Z
Q12192203,association football,1955-01-01T00:00:00Z,2014-01-01T00:00:00Z
Q12210567,association football,1927-01-01T00:00:00Z,2009-08-09T00:00:00Z
Q12214283,association football,1988-02-23T00:00:00Z,2011-07-25T00:00:00Z
Q12215128,association football,1958-07-01T00:00:00Z,2023-03-13T00:00:00Z
Q12216053,association football,1955-04-23T00:00:00Z,2018-03-24T00:00:00Z
Q12219645,association football,1951-01-01T00:00:00Z,2008-12-07T00:00:00Z
Q122204721,ice hockey,1979-03-30T00:00:00Z,2007-05-14T00:00:00Z
Q12223394,association football,1943-01-01T00:00:00Z,2017-10-31T00:00:00Z
Q12223779,association football,1935-01-01T00:00:00Z,2019-12-04T00:00:00Z
Q122253291,ice hockey,1926-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/520269ee7aaaff9484c311b14d255e73
Q122255156,ice hockey,1916-01-14T00:00:00Z,2002-04-08T00:00:00Z
Q122257446,association football,1958-01-14T00:00:00Z,1979-08-11T00:00:00Z
Q12227951,association football,1952-01-01T00:00:00Z,2008-03-10T00:00:00Z
Q12230092,association football,1950-01-01T00:00:00Z,1997-03-07T00:00:00Z
Q122368015,association football,1947-01-01T00:00:00Z,2011-08-13T00:00:00Z
Q12238547,association football,1946-01-01T00:00:00Z,1984-01-01T00:00:00Z
Q12239945,association football,1945-01-01T00:00:00Z,2020-01-28T00:00:00Z
Q12240020,association football,1942-01-01T00:00:00Z,2023-05-03T00:00:00Z
Q12240732,association football,1953-01-01T00:00:00Z,2022-12-20T00:00:00Z
Q12242111,association football,1944-01-01T00:00:00Z,2021-11-16T00:00:00Z
Q12243324,association football,1964-11-11T00:00:00Z,2021-07-19T00:00:00Z
Q12251728,association football,1945-01-01T00:00:00Z,1971-01-01T00:00:00Z
Q12252066,association football,1940-01-06T00:00:00Z,1990-01-01T00:00:00Z
Q122577828,association football,1930-12-20T00:00:00Z,2001-01-23T00:00:00Z
Q122586240,association football,1907-02-08T00:00:00Z,1944-08-12T00:00:00Z
Q122586240,association football,1907-02-08T00:00:00Z,1944-11-12T00:00:00Z
Q122586371,association football,1906-08-06T00:00:00Z,1975-12-12T00:00:00Z
Q122586372,association football,1911-02-09T00:00:00Z,1992-05-31T00:00:00Z
Q122586374,association football,1935-04-02T00:00:00Z,2010-07-24T00:00:00Z
Q122586431,association football,1911-06-11T00:00:00Z,1998-10-31T00:00:00Z
Q122586498,association football,1920-11-03T00:00:00Z,1976-04-11T00:00:00Z
Q122586550,association football,1926-04-02T00:00:00Z,2014-03-02T00:00:00Z
Q122586558,association football,1934-05-28T00:00:00Z,1993-05-04T00:00:00Z
Q122586589,association football,1922-08-11T00:00:00Z,1996-09-04T00:00:00Z
Q122586611,association football,1911-03-11T00:00:00Z,1938-12-21T00:00:00Z
Q122586632,association football,1910-03-16T00:00:00Z,1981-09-09T00:00:00Z
Q122586648,association football,1911-10-20T00:00:00Z,1939-01-01T00:00:00Z
Q122586653,association football,1907-02-03T00:00:00Z,1986-06-02T00:00:00Z
Q122587009,association football,1906-03-12T00:00:00Z,1952-03-14T00:00:00Z
Q122587011,association football,1924-01-07T00:00:00Z,2004-09-17T00:00:00Z
Q122587013,association football,1928-03-05T00:00:00Z,1980-10-04T00:00:00Z
Q122587017,association football,1901-01-21T00:00:00Z,1974-04-22T00:00:00Z
Q122587018,association football,1903-05-16T00:00:00Z,1942-02-09T00:00:00Z
Q122587039,association football,1915-02-18T00:00:00Z,1957-04-29T00:00:00Z
Q122587045,association football,1922-10-01T00:00:00Z,1980-06-13T00:00:00Z
Q122587056,association football,1906-03-31T00:00:00Z,1996-07-04T00:00:00Z
Q122587080,association football,1914-05-12T00:00:00Z,1987-07-23T00:00:00Z
Q122587083,association football,1911-04-25T00:00:00Z,1947-10-18T00:00:00Z
Q122587093,association football,1931-01-08T00:00:00Z,1993-10-19T00:00:00Z
Q122587094,association football,1900-01-06T00:00:00Z,1968-04-18T00:00:00Z
Q122587095,association football,1914-11-05T00:00:00Z,1971-01-29T00:00:00Z
Q122587111,association football,1908-08-18T00:00:00Z,1987-07-08T00:00:00Z
Q122587115,association football,1914-11-19T00:00:00Z,1975-02-24T00:00:00Z
Q122587117,association football,1922-01-10T00:00:00Z,1978-02-01T00:00:00Z
Q122587118,association football,1900-10-30T00:00:00Z,1934-07-22T00:00:00Z
Q122587121,association football,1923-12-19T00:00:00Z,1981-01-11T00:00:00Z
Q122587183,association football,1906-01-10T00:00:00Z,1939-01-24T00:00:00Z
Q122587184,association football,1902-02-19T00:00:00Z,1945-02-12T00:00:00Z
Q122587187,association football,1930-01-01T00:00:00Z,1990-04-06T00:00:00Z
Q122587189,association football,1928-03-13T00:00:00Z,1999-05-05T00:00:00Z
Q122587193,association football,1900-01-24T00:00:00Z,1955-06-07T00:00:00Z
Q122587194,association football,1935-02-07T00:00:00Z,2000-05-28T00:00:00Z
Q122587198,association football,1905-09-01T00:00:00Z,1942-01-01T00:00:00Z
Q122587216,association football,1947-07-22T00:00:00Z,1996-05-05T00:00:00Z
Q122587219,association football,1928-10-02T00:00:00Z,1976-11-30T00:00:00Z
Q122587220,association football,1912-07-05T00:00:00Z,1998-05-20T00:00:00Z
Q122587223,association football,1931-04-24T00:00:00Z,2005-01-31T00:00:00Z
Q122587228,association football,1923-02-28T00:00:00Z,2001-01-05T00:00:00Z
Q12271468,association football,1914-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/cb2311b0435163b23e7759a160997f08
Q12271489,association football,1909-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/38159682cf10d593f121db8e98752ded
Q12271498,association football,1910-10-13T00:00:00Z,1993-01-01T00:00:00Z
Q12273746,association football,1919-11-23T00:00:00Z,1988-01-01T00:00:00Z
Q12274709,association football,1913-01-01T00:00:00Z,2011-10-17T00:00:00Z
